,network,station,latitude,longitude,site_term
0,CI,DJJB,34.10618,-118.45505,-0.5006302224315567
1,CI,RPV,33.743462,-118.404121,-0.04329589420119921
2,CI,SCI2,32.9799,-118.546967,-0.11252577337251912
3,CI,STG,33.664,-117.76856,-0.11861185975128564
4,AZ,CSLB,33.7799,-118.1123,0.3488691068329862
5,AZ,SIO5,32.840698,-117.249702,0.08657513786601309
6,AZ,SMER,33.457699,-117.170799,-0.198218333852002
7,BC,TJX,32.51017,-117.054298,-0.06025083026682476
8,CE,13070,33.4851,-117.6689,0.3999806591228553
9,CE,13577,33.928000000000004,-117.8032,0.3497013448682681
10,CE,13884,33.7667,-117.9178,0.24497412588953044
11,CE,14831,33.792,-118.319,-0.2786426496547964
12,CE,14834,33.9219,-118.3268,-0.13257440398206444
13,CE,14935,33.8675,-118.2618,-0.27799893432017403
14,CE,24014,34.0449,-118.5223,-0.2291971378719465
15,CE,24833,34.0627,-118.3156,0.10183678918806917
16,CE,25131,34.1507,-119.198,0.07664262944093797
17,CI,BHP,33.99053,-118.36171000000002,-0.17714270005750793
18,CI,BLC,34.243559999999995,-118.67312,-0.24675602144650155
19,CI,BRE,33.807759999999995,-117.98116,0.046214685910348635
20,CI,CHI,34.18156,-119.22244,-0.04105564367390102
21,CI,CHN,33.99879,-117.68044,-0.15553879703071755
22,CI,CIA,33.401897,-118.415024,-0.10248044207060056
23,CI,CLO,34.22038,-119.00891,-0.15604469660822382
24,CI,CPT2,33.34183,-117.32502,0.18807384089575327
25,CI,CRF,33.873521000000004,-118.039376,0.3254649088596014
26,CI,CWP,33.557975,-117.55775,-0.041885469876723966
27,CI,DEC,34.253529,-118.333832,-0.11219738272657252
28,CI,DGR,33.650009999999995,-117.00947,-0.1273620447003081
29,CI,DJJ,34.106178,-118.455048,-0.4790384877511257
30,CI,DLA,33.84822,-118.09624,0.21306381813086864
31,CI,DPP,32.99889,-116.94187,0.04917159398076094
32,CI,DZA,32.60657,-116.77477,-0.10517017340871604
33,CI,ELS2,33.64907,-117.42604,-0.2971300121359007
34,CI,EML,32.89083,-116.84566,-0.0487107164117736
35,CI,FMP,33.712639,-118.293808,-0.4026815938893033
36,CI,FUL,33.8717,-117.92251,-0.15780077187051178
37,CI,GOR,33.1537,-117.22921,-0.09776189229643972
38,CI,GR2,34.11816,-118.30024,-0.37822975860510616
39,CI,GSA,34.13677,-118.1283,-0.01747228100896405
40,CI,GVR,34.04972,-118.11995,0.05934437773585936
41,CI,HLL,34.17643,-118.35967,-0.22225062654858327
42,CI,IVY,33.76025,-117.47678,0.03226536564468799
43,CI,KML,33.59738,-117.87909,-0.5675269106340589
44,CI,LAF,33.86889,-118.33143,0.06663640433441828
45,CI,LBW2,33.798,-118.08837,-0.31214089230866393
46,CI,LCG,34.00033,-118.37794,-0.17216427428965306
47,CI,LFP,34.30529,-118.48805,0.009884904777889985
48,CI,LGB,33.9753,-118.14918,-0.06267753971373062
49,CI,LLS,33.684470000000005,-117.94304,0.08064779641624431
50,CI,LMH,33.74418,-117.39135,-0.33383821752952403
51,CI,LMS,33.817440000000005,-117.445,-0.3895153802015335
52,CI,LUS,33.01375,-117.16305,-0.2336574178643276
53,CI,LVY,34.17408,-119.15636,-0.11715870803055164
54,CI,LYP,32.70333,-116.7548,-0.15098162233719706
55,CI,MIK,34.13688,-118.12601,0.6790189619848492
56,CI,MIKB,34.13688,-118.12601,-0.04825489557641898
57,CI,MLS,34.0046,-117.56162,-0.03985246978802706
58,CI,MMC,33.57304,-117.76258,0.3106555159717749
59,CI,MOP,34.28096,-118.90469,-0.02854023967772315
60,CI,MUR,33.599991,-117.195427,0.3118597280346189
61,CI,MWC,34.223620000000004,-118.05832,-0.1637076723560782
62,CI,NOT,34.22869,-118.55829,0.05373592541886158
63,CI,OGC,33.78816,-117.844,-0.08616159127386956
64,CI,OLI,33.94539,-117.92372,-0.1700208564521213
65,CI,OLP,32.60771,-116.93019,0.052595532221277705
66,CI,PALA,33.38905,-117.03182,0.24188360535970255
67,CI,PDR,33.96273,-118.43702,-0.2562802989386289
68,CI,PDU,34.1207,-117.63808,-0.3134557289484109
69,CI,PER,33.86164,-117.20529,-0.2216213060874471
70,CI,PLM,33.353611,-116.862648,-0.21636695969534286
71,CI,PLS,33.7953,-117.60906,-0.3062276130906994
72,CI,PSR,34.091809999999995,-117.80709,-0.24435759971451398
73,CI,RHC2,34.00095,-118.01333,0.04496204090613085
74,CI,RHR,33.290213,-117.176482,-0.15526012415238746
75,CI,RIO,34.10473,-117.97956,-0.30665162209654506
76,CI,RKMO,33.674209999999995,-117.60947,0.08221822226165078
77,CI,RUS,34.05075,-118.08078,-0.016299051282981383
78,CI,RVR,33.99351,-117.37545,-0.24777472343541074
79,CI,SBI,33.48046,-119.02986,-0.4121988940339895
80,CI,SDD,33.552589000000005,-117.661713,-0.12260127959440435
81,CI,SDG,32.784,-117.13805,-0.13364186949667234
82,CI,SDR,32.73561,-116.94241,0.03700078897938682
83,CI,SMF2,34.022009999999995,-118.44627,0.0904562067628662
84,CI,SOC,33.387609999999995,-117.58013,0.10241647041187216
85,CI,SPF,34.05933,-118.64614,-0.3924178540601659
86,CI,SRN,33.828540000000004,-117.78938,-0.27222579901222194
87,CI,STS,33.79033,-118.19878,0.11229329651466224
88,CI,USC,34.019192,-118.286308,-0.3368005385813009
89,CI,WLT,34.00948,-117.95077,0.22795259098812806
90,CI,WSS,34.1717,-118.64971,0.17924172655509826
91,CI,WTT2,33.94867,-118.25539,-0.08087650099847833
92,NP,5288,33.69729,-118.02485,0.16348213311562915
93,NP,5402,34.07618,-118.3959,-0.12289978818950648
94,NP,5422,34.18504,-118.44698,-0.1007305633631624
95,NP,5425,34.27718,-118.55965,-0.1275113058622373
96,NP,5430,33.19814,-117.37824,-0.3762273984999485
97,NP,5499,33.940459999999995,-118.42066,-0.17800910843004294
98,AZ,CPE,32.888901000000004,-117.105103,0.06657225662298415
99,CI,BAR,32.68005,-116.67215,0.09813976877232844
100,CI,JEM,33.08098,-116.59755,0.1086564373436046
101,TA,109C,32.888901000000004,-117.105103,0.09292409355972503
102,XD,A13,32.656399,-116.186996,-0.35236723292222394
103,2D,OBS32,33.2085,-118.480202,1.06745940393188
104,AZ,BZN,33.491501,-116.667,-0.13436500052572112
105,AZ,CRY,33.565399,-116.737297,-0.2483851360848819
106,AZ,FRD,33.494701,-116.602203,-0.5337797487531107
107,AZ,LVA2,33.351601,-116.561501,-0.3214134809409577
108,AZ,MONP2,32.891998,-116.422302,-0.44082945124239503
109,AZ,RDM,33.630001,-116.847801,-0.04504133082066674
110,AZ,SND,33.551899,-116.6129,-0.08900450381434342
111,AZ,SOL,32.841,-117.248001,0.08067278576061075
112,AZ,TRO,33.523399,-116.425697,0.0885634572947627
113,AZ,WMC,33.573601000000004,-116.674698,-0.04647407059895788
114,CI,BBS,33.92139,-116.98058,-0.1568736856993577
115,CI,BFS,34.238831,-117.658531,-0.34064259673898506
116,CI,BOR,33.2682,-116.41716,-0.07122201774249885
