"","lat","lon","grid_id","EpiDist","VS30"
"1",31,-123,1,549.843675790046,600
"37",31,-122.8,37,535.690926198972,600
"73",31,-122.6,73,521.828854716926,600
"109",31,-122.4,109,508.281295572605,600
"145",31,-122.2,145,495.074119056705,600
"181",31,-122,181,482.235341310501,600
"217",31,-121.8,217,469.79521397443,600
"253",31,-121.6,253,457.786283484907,600
"289",31,-121.4,289,446.243407482316,600
"325",31,-121.2,325,435.203713434388,600
"361",31,-121,361,424.706482448354,600
"397",31,-120.8,397,414.792939731593,600
"433",31,-120.6,433,405.505932793419,600
"469",31,-120.4,469,396.889479911922,600
"505",31,-120.2,505,388.98817533232,600
"541",31,-120,541,381.846444764385,600
"577",31,-119.8,577,375.507655392353,600
"613",31,-119.6,613,370.013098673938,600
"649",31,-119.4,649,365.400880792791,600
"685",31,-119.2,685,361.704772920044,600
"721",31,-119,721,358.953088739034,600
"757",31,-118.8,757,357.167666780685,600
"793",31,-118.6,793,356.363036966489,600
"829",31,-118.4,829,356.545842376256,600
"865",31,-118.2,865,357.714568520023,600
"901",31,-118,901,359.859605411184,600
"937",31,-117.8,937,362.963636595086,600
"973",31,-117.6,973,367.002319115653,600
"1009",31,-117.4,1009,371.945194085441,600
"1045",31,-117.2,1045,377.756752493808,600
"1081",31,-117,1081,384.39757642083,600
"1117",31,-116.8,1117,391.825481031496,600
"1153",31,-116.6,1153,399.996595125517,600
"1189",31,-116.4,1189,408.866334412517,600
"1225",31,-116.2,1225,418.390238985476,250
"1261",31,-116,1261,428.52466228004,325
"1297",31,-115.8,1297,439.227311664541,475
"1333",31,-115.6,1333,450.457650121503,900
"1369",31,-115.4,1369,462.17717434998,900
"1405",31,-115.2,1405,474.349587548899,315
"1441",31,-115,1441,486.940885825641,683
"1477",31,-114.8,1477,499.919376312554,600
"1513",31,-114.6,1513,513.255643277827,600
"1549",31,-114.4,1549,526.922476263823,600
"1585",31,-114.2,1585,540.894771915393,600
"1621",31,-114,1621,555.149418892103,600
"2",31.2,-123,2,535.38729911738,600
"38",31.2,-122.8,38,520.873695025553,600
"74",31.2,-122.6,74,506.637559125063,600
"110",31.2,-122.4,110,492.702996412788,600
"146",31.2,-122.2,146,479.096373297838,600
"182",31.2,-122,182,465.846477034851,600
"218",31.2,-121.8,218,452.984660985901,600
"254",31.2,-121.6,254,440.544964563959,600
"290",31.2,-121.4,290,428.564193470922,600
"326",31.2,-121.2,326,417.081942266199,600
"362",31.2,-121,362,406.140537646227,600
"398",31.2,-120.8,398,395.784877530938,600
"434",31.2,-120.6,434,386.062138828931,600
"470",31.2,-120.4,470,377.021326536074,600
"506",31.2,-120.2,506,368.712639778647,600
"542",31.2,-120,542,361.186637783558,600
"578",31.2,-119.8,578,354.49320158306,600
"614",31.2,-119.6,614,348.680305949478,600
"650",31.2,-119.4,650,343.792639877068,600
"686",31.2,-119.2,686,339.870140568422,600
"722",31.2,-119,722,336.946531298942,600
"758",31.2,-118.8,758,335.047972374272,600
"794",31.2,-118.6,794,334.191941114102,600
"830",31.2,-118.4,830,334.38644729504,600
"866",31.2,-118.2,866,335.629663790417,600
"902",31.2,-118,902,337.910011370352,600
"938",31.2,-117.8,938,341.206688637314,600
"974",31.2,-117.6,974,345.490591773885,600
"1010",31.2,-117.4,1010,350.725532589417,600
"1046",31.2,-117.2,1046,356.869642881883,600
