,Unnamed: 0,lat,lon,grid_id,EpiDist,VS30,siteterm,MMI_st,MMI,dff
0,1,31,-123,1,549.8436758,600,-0.0794,1.741897629,1.821297629,0.0794
1,37,31,-122.8,37,535.6909262,600,-0.0794,1.800765593,1.880165593,0.0794
2,73,31,-122.6,73,521.8288547,600,-0.0794,1.859144312,1.938544312,0.0794
3,109,31,-122.4,109,508.2812956,600,-0.0794,1.916923559,1.996323559,0.0794
4,145,31,-122.2,145,495.0741191,600,-0.0794,1.973978032,2.053378032,0.0794
5,181,31,-122,181,482.2353413,600,-0.0794,2.030165846,2.109565846,0.0794
6,217,31,-121.8,217,469.795214,600,-0.0794,2.085327065,2.164727065,0.0794
7,253,31,-121.6,253,457.7862835,600,-0.0794,2.139282349,2.218682349,0.0794
8,289,31,-121.4,289,446.2434075,600,-0.0794,2.191831819,2.271231819,0.0794
9,325,31,-121.2,325,435.2037134,600,-0.0794,2.242754296,2.322154296,0.0794
10,361,31,-121,361,424.7064824,600,-0.0794,2.291807064,2.371207064,0.0794
11,397,31,-120.8,397,414.7929397,600,-0.0794,2.338726377,2.418126377,0.0794
12,433,31,-120.6,433,405.5059328,600,-0.0794,2.383228919,2.462628919,0.0794
13,469,31,-120.4,469,396.8894799,600,-0.0794,2.425014451,2.504414451,0.0794
14,505,31,-120.2,505,388.9881753,600,-0.0794,2.463769853,2.543169853,0.0794
15,541,31,-120,541,381.8464448,600,-0.0794,2.4991747,2.5785747,0.0794
16,577,31,-119.8,577,375.5076554,600,-0.0794,2.530908436,2.610308436,0.0794
17,613,31,-119.6,613,370.0130987,600,-0.0794,2.558659046,2.638059046,0.0794
18,649,31,-119.4,649,365.4008808,600,-0.0794,2.582132934,2.661532934,0.0794
19,685,31,-119.2,685,361.7047729,600,-0.0794,2.601065539,2.680465539,0.0794
20,721,31,-119,721,358.9530887,600,-0.0794,2.615231987,2.694631987,0.0794
21,757,31,-118.8,757,357.1676668,600,-0.0794,2.62445697,2.70385697,0.0794
22,793,31,-118.6,793,356.363037,600,-0.0794,2.628622966,2.708022966,0.0794
23,829,31,-118.4,829,356.5458424,600,-0.0794,2.627676013,2.707076013,0.0794
24,865,31,-118.2,865,357.7145685,600,-0.0794,2.621628428,2.701028428,0.0794
25,901,31,-118,901,359.8596054,600,-0.0794,2.610558177,2.689958177,0.0794
26,937,31,-117.8,937,362.9636366,600,-0.0794,2.594604981,2.674004981,0.0794
27,973,31,-117.6,973,367.0023191,600,-0.0794,2.573963554,2.653363554,0.0794
28,1009,31,-117.4,1009,371.9451941,600,-0.0794,2.548874665,2.628274665,0.0794
29,1045,31,-117.2,1045,377.7567525,600,-0.0794,2.519614874,2.599014874,0.0794
30,1081,31,-117,1081,384.3975764,600,-0.0794,2.486485803,2.565885803,0.0794
31,1117,31,-116.8,1117,391.825481,600,-0.0794,2.449803724,2.529203724,0.0794
32,1153,31,-116.6,1153,399.9965951,600,-0.0794,2.409890077,2.489290077,0.0794
