field_1,lat,lon,grid_id,EpiDist,VS30,mmimean,thresh1,thresh2
1,31,-123,1,549.8436758,600,,0,
37,31,-122.8,37,535.6909262,600,,,
73,31,-122.6,73,521.8288547,600,2.99284935,,
109,31,-122.4,109,508.2812956,600,3.025547504,,
145,31,-122.2,145,495.0741191,600,3.057696819,,
181,31,-122,181,482.2353413,600,3.089209795,,
217,31,-121.8,217,469.795214,600,3.119989395,,
253,31,-121.6,253,457.7862835,600,3.149927139,,
289,31,-121.4,289,446.2434075,600,3.178904772,,
325,31,-121.2,325,435.2037134,600,3.206792593,,
361,31,-121,361,424.7064825,600,3.23347187,,
397,31,-120.8,397,414.7929397,600,3.259923935,,
433,31,-120.6,433,405.5059328,600,3.285727739,,
469,31,-120.4,469,396.8894799,600,3.310061216,,
505,31,-120.2,505,388.9881753,600,3.332664013,,
541,31,-120,541,381.8464448,600,3.353319883,,
577,31,-119.8,577,375.5076554,600,3.371845722,,
613,31,-119.6,613,370.0130987,600,3.388063669,,
649,31,-119.4,649,365.4008808,600,3.401804924,,
685,31,-119.2,685,361.7047729,600,3.412917137,,
721,31,-119,721,358.9530887,600,3.421270847,,
757,31,-118.8,757,357.1676668,600,3.426763773,,
793,31,-118.6,793,356.363037,600,3.429326773,,
829,31,-118.4,829,356.5458424,600,3.428927183,,
865,31,-118.2,865,357.7145685,600,3.425570011,,
901,31,-118,901,359.8596054,600,3.41929841,,
937,31,-117.8,937,362.9636366,600,3.410190821,,
973,31,-117.6,973,367.0023191,600,3.398357153,,
1009,31,-117.4,1009,371.9451941,600,3.383934498,,
1045,31,-117.2,1045,377.7567525,600,3.367079258,,
1081,31,-117,1081,384.3975764,600,3.347963095,,
1117,31,-116.8,1117,391.825481,600,3.32676506,,
1153,31,-116.6,1153,399.9965951,600,3.303667545,,
1189,31,-116.4,1189,408.8663344,600,3.27892518,,
1225,31,-116.2,1225,418.390239,250,3.658529043,,
1261,31,-116,1261,428.5246623,325,3.51149106,,
1297,31,-115.8,1297,439.2273117,475,3.307220459,,
1333,31,-115.6,1333,450.4576501,900,2.974068165,,
1369,31,-115.4,1369,462.1771744,900,2.943261147,,
1405,31,-115.2,1405,474.3495876,315,3.405113697,,
1441,31,-115,1441,486.9408858,683,3.009845257,,
1477,31,-114.8,1477,499.9193763,600,3.038854599,,
1513,31,-114.6,1513,513.2556433,600,3.00545454,,
1549,31,-114.4,1549,526.9224763,600,2.97163105,,
1585,31,-114.2,1585,540.8947719,600,2.937450171,,
1621,31,-114,1621,555.1494189,600,,,
2,31.2,-123,2,535.3872991,600,,,
38,31.2,-122.8,38,520.873695,600,,,
74,31.2,-122.6,74,506.6375591,600,3.031627178,,
110,31.2,-122.4,110,492.7029964,600,3.065762758,,
146,31.2,-122.2,146,479.0963733,600,3.099412918,,
182,31.2,-122,182,465.846477,600,3.132488251,,
218,31.2,-121.8,218,452.984661,600,3.164887428,,
254,31.2,-121.6,254,440.5449646,600,3.196496725,,
290,31.2,-121.4,290,428.5641935,600,3.227189541,,
326,31.2,-121.2,326,417.0819423,600,3.256825209,,
362,31.2,-121,362,406.1405377,600,3.28524971,,
398,31.2,-120.8,398,395.7848775,600,3.312628746,,
434,31.2,-120.6,434,386.0621388,600,3.340069056,,
470,31.2,-120.4,470,377.0213265,600,3.366287231,,
506,31.2,-120.2,506,368.7126398,600,3.39069581,,
542,31.2,-120,542,361.1866378,600,3.413082123,,
578,31.2,-119.8,578,354.4932016,600,3.433229446,,
614,31.2,-119.6,614,348.680306,600,3.450922966,,
650,31.2,-119.4,650,343.7926399,600,3.465958118,,
686,31.2,-119.2,686,339.8701406,600,3.478147745,,
722,31.2,-119,722,336.9465313,600,3.487329722,,
758,31.2,-118.8,758,335.0479724,600,3.493376494,,
794,31.2,-118.6,794,334.1919411,600,3.496201277,,
830,31.2,-118.4,830,334.3864473,600,3.495761871,,
866,31.2,-118.2,866,335.6296638,600,3.492065668,,
902,31.2,-118,902,337.9100114,600,3.485166311,,
938,31.2,-117.8,938,341.2066886,600,3.47516346,,
974,31.2,-117.6,974,345.4905918,600,3.462195158,,
1010,31.2,-117.4,1010,350.7255326,600,3.446430445,,
1046,31.2,-117.2,1046,356.8696429,600,3.428061962,,
1082,31.2,-117,1082,363.8768499,600,3.407296419,,
1118,31.2,-116.8,1118,371.6983198,600,3.384347677,,
1154,31.2,-116.6,1154,380.283787,600,3.359430313,,
1190,31.2,-116.4,1190,389.5827152,600,3.332753658,,
1226,31.2,-116.2,1226,399.5452608,653,3.264015198,,
1262,31.2,-116,1262,410.1230316,469,3.391682386,,
1298,31.2,-115.8,1298,421.2696503,597,3.246855736,,
1334,31.2,-115.6,1334,432.9411439,553,3.251727104,,
1370,31.2,-115.4,1370,445.096184,273,3.545387507,,
1406,31.2,-115.2,1406,457.696206,383,3.356725931,,
1442,31.2,-115,1442,470.7054338,377,3.330574274,,
1478,31.2,-114.8,1478,484.0908338,600,3.07835269,,
1514,31.2,-114.6,1514,497.8220175,600,3.043486118,,
1550,31.2,-114.4,1550,511.8711114,600,3.008289576,,
1586,31.2,-114.2,1586,526.2126048,600,2.972822428,,
1622,31.2,-114,1622,540.8231876,600,,,
3,31.4,-123,3,521.4716055,600,,,
39,31.4,-122.8,39,506.5922896,600,,,
75,31.4,-122.6,75,491.9753025,600,3.069636345,,
111,31.4,-122.4,111,477.6447833,600,3.105279207,,
147,31.4,-122.2,147,463.6273502,600,3.14051342,,
183,31.4,-122,183,449.9523175,600,3.175248623,,
219,31.4,-121.8,219,436.6519076,600,3.209381342,,
255,31.4,-121.6,255,423.7614461,600,3.242793322,,
291,31.4,-121.4,291,411.3195257,600,3.275350571,,
327,31.4,-121.2,327,399.3681166,600,3.306992531,,
363,31.4,-121,363,387.952599,600,3.337550402,,
399,31.4,-120.8,399,377.1216831,600,3.366742373,,
435,31.4,-120.6,435,366.9271817,600,3.395009041,,
471,31.4,-120.4,471,357.4235926,600,3.423200607,,
507,31.4,-120.2,507,348.6674523,600,3.44966507,,
543,31.4,-120,543,340.7164246,600,3.474039555,,
579,31.4,-119.8,579,333.6281061,600,3.496065378,,
615,31.4,-119.6,615,327.4585517,600,3.515483856,,
651,31.4,-119.4,651,322.2605564,600,3.532042742,,
687,31.4,-119.2,687,318.0817736,600,3.5455091,,
723,31.4,-119,723,314.9627886,600,3.555679083,,
759,31.4,-118.8,759,312.9353026,600,3.562390089,,
795,31.4,-118.6,795,312.0206013,600,3.565529823,,
831,31.4,-118.4,831,312.2284681,600,3.565044642,,
867,31.4,-118.2,867,313.5566696,600,3.560943365,,
903,31.4,-118,903,315.9910743,600,3.553296089,,
939,31.4,-117.8,939,319.5063891,600,3.542230845,,
975,31.4,-117.6,975,324.0674281,600,3.527924299,,
1011,31.4,-117.4,1011,329.6307699,600,3.5105896,,
1047,31.4,-117.2,1047,336.1466334,600,3.490464926,,
1083,31.4,-117,1083,343.5608045,600,3.46780014,,
1119,31.4,-116.8,1119,351.8164696,600,3.442850828,,
1155,31.4,-116.6,1155,360.8558496,600,3.415869474,,
