,field_1,lat,lon,grid_id,EpiDist,VS30,mmimean,thresh1,thresh2,Delta_R
0,1,31.0,-123.0,1,549.8436757999999,600,,0.0,,
1,37,31.0,-122.8,37,535.6909262,600,,,,
2,73,31.0,-122.6,73,521.8288547000001,600,2.99284935,,,0.07939999999999992
3,109,31.0,-122.4,109,508.2812956,600,3.025547504,,,0.07940000000000014
4,145,31.0,-122.2,145,495.0741191000001,600,3.057696819,,,0.07940000000000014
5,181,31.0,-122.0,181,482.23534129999996,600,3.089209795,,,0.07939999999999969
6,217,31.0,-121.8,217,469.795214,600,3.119989395,,,0.07940000000000014
7,253,31.0,-121.6,253,457.7862835,600,3.149927139,,,0.07940000000000014
8,289,31.0,-121.4,289,446.24340750000005,600,3.178904772,,,0.07940000000000014
9,325,31.0,-121.2,325,435.20371339999997,600,3.2067925930000003,,,0.07940000000000014
10,361,31.0,-121.0,361,424.7064825,600,3.23347187,,,0.07940000000000014
11,397,31.0,-120.8,397,414.7929397,600,3.259923935,,,0.07939999999999969
12,433,31.0,-120.6,433,405.50593280000004,600,3.285727739,,,0.07940000000000014
13,469,31.0,-120.4,469,396.88947989999997,600,3.3100612160000003,,,0.07940000000000014
14,505,31.0,-120.2,505,388.9881753,600,3.332664013,,,0.07940000000000014
15,541,31.0,-120.0,541,381.84644480000003,600,3.353319883,,,0.07940000000000014
16,577,31.0,-119.8,577,375.5076554,600,3.3718457219999998,,,0.07940000000000014
17,613,31.0,-119.6,613,370.0130987,600,3.3880636689999997,,,0.07940000000000014
18,649,31.0,-119.4,649,365.40088080000004,600,3.401804924,,,0.07940000000000014
19,685,31.0,-119.2,685,361.70477289999997,600,3.412917137,,,0.07940000000000014
20,721,31.0,-119.0,721,358.9530887,600,3.4212708469999997,,,0.07939999999999969
21,757,31.0,-118.8,757,357.1676668,600,3.4267637730000002,,,0.07940000000000014
22,793,31.0,-118.6,793,356.363037,600,3.429326773,,,0.07940000000000014
23,829,31.0,-118.4,829,356.54584239999997,600,3.4289271830000003,,,0.07939999999999969
24,865,31.0,-118.2,865,357.7145685,600,3.425570011,,,0.07940000000000014
25,901,31.0,-118.0,901,359.85960539999996,600,3.41929841,,,0.07940000000000014
26,937,31.0,-117.8,937,362.96363660000003,600,3.410190821,,,0.07940000000000014
27,973,31.0,-117.6,973,367.0023191,600,3.398357153,,,0.07940000000000014
28,1009,31.0,-117.4,1009,371.94519410000004,600,3.383934498,,,0.07940000000000014
29,1045,31.0,-117.2,1045,377.7567525,600,3.367079258,,,0.07939999999999969
30,1081,31.0,-117.0,1081,384.3975764,600,3.347963095,,,0.07939999999999969
31,1117,31.0,-116.8,1117,391.825481,600,3.32676506,,,0.07940000000000014
32,1153,31.0,-116.6,1153,399.99659510000004,600,3.303667545,,,0.07939999999999969
33,1189,31.0,-116.4,1189,408.86633439999997,600,3.27892518,,,0.07940000000000014
34,1225,31.0,-116.2,1225,418.390239,250,3.658529043,,,-0.09524999999999961
35,1261,31.0,-116.0,1261,428.5246623,325,3.51149106,,,-0.05782499999999979
36,1297,31.0,-115.8,1297,439.2273117,475,3.307220459,,,0.017024999999999846
37,1333,31.0,-115.6,1333,450.4576501,900,2.974068165,,,0.22909999999999986
38,1369,31.0,-115.4,1369,462.1771744,900,2.943261147,,,0.22909999999999986
39,1405,31.0,-115.2,1405,474.3495876,315,3.405113697,,,-0.06281500000000007
40,1441,31.0,-115.0,1441,486.9408858,683,3.009845257,,,0.12081699999999995
41,1477,31.0,-114.8,1477,499.9193763,600,3.0388545989999995,,,0.07939999999999992
42,1513,31.0,-114.6,1513,513.2556433,600,3.00545454,,,0.07939999999999992
43,1549,31.0,-114.4,1549,526.9224763,600,2.97163105,,,0.07940000000000014
44,1585,31.0,-114.2,1585,540.8947718999999,600,2.937450171,,,0.07939999999999992
45,1621,31.0,-114.0,1621,555.1494188999999,600,,,,
46,2,31.2,-123.0,2,535.3872991000001,600,,,,
47,38,31.2,-122.8,38,520.873695,600,,,,
48,74,31.2,-122.6,74,506.6375591,600,3.031627178,,,0.07940000000000014
49,110,31.2,-122.4,110,492.70299639999996,600,3.065762758,,,0.07940000000000014
50,146,31.2,-122.2,146,479.0963733,600,3.099412918,,,0.07940000000000014
51,182,31.2,-122.0,182,465.84647699999994,600,3.1324882510000003,,,0.07939999999999969
52,218,31.2,-121.8,218,452.984661,600,3.164887428,,,0.07940000000000014
53,254,31.2,-121.6,254,440.54496460000007,600,3.196496725,,,0.07940000000000014
54,290,31.2,-121.4,290,428.56419349999993,600,3.2271895410000004,,,0.07939999999999969
55,326,31.2,-121.2,326,417.0819423,600,3.2568252089999996,,,0.07939999999999969
56,362,31.2,-121.0,362,406.1405377,600,3.28524971,,,0.07939999999999969
57,398,31.2,-120.8,398,395.7848775,600,3.312628746,,,0.07940000000000014
58,434,31.2,-120.6,434,386.0621388,600,3.3400690560000004,,,0.07940000000000014
59,470,31.2,-120.4,470,377.0213265,600,3.3662872310000003,,,0.07940000000000014
60,506,31.2,-120.2,506,368.7126398,600,3.39069581,,,0.07940000000000014
61,542,31.2,-120.0,542,361.1866378,600,3.413082123,,,0.07940000000000014
62,578,31.2,-119.8,578,354.4932016,600,3.4332294460000004,,,0.07940000000000014
63,614,31.2,-119.6,614,348.68030600000003,600,3.4509229660000003,,,0.07940000000000014
64,650,31.2,-119.4,650,343.7926399,600,3.465958118,,,0.07939999999999969
65,686,31.2,-119.2,686,339.87014060000007,600,3.478147745,,,0.07939999999999969
66,722,31.2,-119.0,722,336.9465313,600,3.4873297219999997,,,0.07939999999999969
67,758,31.2,-118.8,758,335.0479724,600,3.4933764939999996,,,0.07939999999999969
68,794,31.2,-118.6,794,334.1919411,600,3.496201277,,,0.07940000000000014
69,830,31.2,-118.4,830,334.38644730000004,600,3.495761871,,,0.07939999999999969
70,866,31.2,-118.2,866,335.6296638,600,3.492065668,,,0.07940000000000014
71,902,31.2,-118.0,902,337.9100114,600,3.4851663110000004,,,0.07940000000000014
72,938,31.2,-117.8,938,341.20668860000006,600,3.47516346,,,0.07940000000000014
73,974,31.2,-117.6,974,345.4905918,600,3.462195158,,,0.07940000000000014
74,1010,31.2,-117.4,1010,350.7255326,600,3.446430445,,,0.07939999999999969
75,1046,31.2,-117.2,1046,356.8696429,600,3.4280619619999997,,,0.07940000000000014
76,1082,31.2,-117.0,1082,363.87684989999997,600,3.4072964189999997,,,0.07939999999999969
77,1118,31.2,-116.8,1118,371.69831980000004,600,3.384347677,,,0.07940000000000014
78,1154,31.2,-116.6,1154,380.283787,600,3.3594303130000003,,,0.07940000000000014
79,1190,31.2,-116.4,1190,389.5827152,600,3.332753658,,,0.07939999999999969
80,1226,31.2,-116.2,1226,399.5452608,653,3.264015198,,,0.1058469999999998
81,1262,31.2,-116.0,1262,410.1230316,469,3.3916823860000003,,,0.014030999999999683
82,1298,31.2,-115.8,1298,421.2696503,597,3.246855736,,,0.07790300000000006
83,1334,31.2,-115.6,1334,432.94114389999993,553,3.251727104,,,0.05594700000000019
84,1370,31.2,-115.4,1370,445.096184,273,3.545387507,,,-0.08377299999999988
85,1406,31.2,-115.2,1406,457.69620599999996,383,3.356725931,,,-0.028882999999999992
86,1442,31.2,-115.0,1442,470.70543380000004,377,3.330574274,,,-0.03187699999999971
87,1478,31.2,-114.8,1478,484.09083380000004,600,3.07835269,,,0.07940000000000014
88,1514,31.2,-114.6,1514,497.82201749999996,600,3.043486118,,,0.07939999999999992
89,1550,31.2,-114.4,1550,511.8711114,600,3.008289576,,,0.07939999999999992
90,1586,31.2,-114.2,1586,526.2126048,600,2.972822428,,,0.07939999999999992
91,1622,31.2,-114.0,1622,540.8231876,600,,,,
92,3,31.4,-123.0,3,521.4716055,600,,,,
93,39,31.4,-122.8,39,506.5922896000001,600,,,,
94,75,31.4,-122.6,75,491.97530250000005,600,3.069636345,,,0.07939999999999992
95,111,31.4,-122.4,111,477.64478330000003,600,3.1052792069999997,,,0.07940000000000014
96,147,31.4,-122.2,147,463.6273502,600,3.14051342,,,0.07940000000000014
97,183,31.4,-122.0,183,449.9523175,600,3.1752486230000003,,,0.07939999999999969
98,219,31.4,-121.8,219,436.6519076,600,3.209381342,,,0.07940000000000014
99,255,31.4,-121.6,255,423.7614461,600,3.242793322,,,0.07940000000000014
100,291,31.4,-121.4,291,411.3195257,600,3.275350571,,,0.07940000000000014
101,327,31.4,-121.2,327,399.3681166,600,3.306992531,,,0.07940000000000014
102,363,31.4,-121.0,363,387.952599,600,3.3375504019999997,,,0.07939999999999969
103,399,31.4,-120.8,399,377.12168310000004,600,3.366742373,,,0.07940000000000014
104,435,31.4,-120.6,435,366.9271817,600,3.3950090410000002,,,0.07940000000000014
105,471,31.4,-120.4,471,357.42359260000006,600,3.423200607,,,0.07939999999999969
106,507,31.4,-120.2,507,348.6674523,600,3.44966507,,,0.07939999999999969
107,543,31.4,-120.0,543,340.71642460000004,600,3.474039555,,,0.07939999999999969
108,579,31.4,-119.8,579,333.6281061,600,3.496065378,,,0.07940000000000014
109,615,31.4,-119.6,615,327.4585517,600,3.5154838560000004,,,0.07939999999999969
110,651,31.4,-119.4,651,322.2605564,600,3.532042742,,,0.07939999999999969
111,687,31.4,-119.2,687,318.0817736,600,3.5455091,,,0.07940000000000014
112,723,31.4,-119.0,723,314.96278860000007,600,3.5556790830000002,,,0.07940000000000014
113,759,31.4,-118.8,759,312.9353026,600,3.562390089,,,0.07939999999999969
114,795,31.4,-118.6,795,312.0206013,600,3.5655298230000003,,,0.07939999999999969
115,831,31.4,-118.4,831,312.22846810000004,600,3.5650446419999997,,,0.07940000000000014
116,867,31.4,-118.2,867,313.5566696,600,3.560943365,,,0.07940000000000014
117,903,31.4,-118.0,903,315.99107430000004,600,3.553296089,,,0.07940000000000014
118,939,31.4,-117.8,939,319.50638910000004,600,3.542230845,,,0.07940000000000014
119,975,31.4,-117.6,975,324.06742810000003,600,3.527924299,,,0.07940000000000014
120,1011,31.4,-117.4,1011,329.63076989999996,600,3.5105896,,,0.07940000000000014
121,1047,31.4,-117.2,1047,336.1466334,600,3.490464926,,,0.07940000000000014
122,1083,31.4,-117.0,1083,343.5608045,600,3.46780014,,,0.07940000000000014
123,1119,31.4,-116.8,1119,351.81646960000006,600,3.442850828,,,0.07940000000000014
124,1155,31.4,-116.6,1155,360.85584960000006,600,3.415869474,,,0.07939999999999969
125,1191,31.4,-116.4,1191,370.621574,565,3.416010857,,,0.06193500000000007
126,1227,31.4,-116.2,1227,381.05776910000003,597,3.359170914,,,0.07790300000000006
127,1263,31.4,-116.0,1263,392.1108682,635,3.297937632,,,0.0968650000000002
128,1299,31.4,-115.8,1299,403.7301688,722,3.203935385,,,0.14027800000000035
129,1335,31.4,-115.6,1335,415.868175,566,3.286448956,,,0.0624340000000001
130,1371,31.4,-115.4,1371,428.4807659,651,3.185335875,,,0.10484899999999975
131,1407,31.4,-115.2,1407,441.52722930000004,532,3.2461090089999995,,,0.045468000000000064
132,1443,31.4,-115.0,1443,454.97019769999997,281,3.5051126480000003,,,-0.07978099999999966
133,1479,31.4,-114.8,1479,468.7755148,600,3.116673946,,,0.07939999999999969
134,1515,31.4,-114.6,1515,482.91205819999993,600,3.080265522,,,0.07939999999999969
135,1551,31.4,-114.4,1551,497.35153629999996,600,3.0436754230000003,,,0.07939999999999992
136,1587,31.4,-114.2,1587,512.0682732,600,3.0069375039999997,,,0.07939999999999992
137,1623,31.4,-114.0,1623,527.0389931,600,,,,
138,4,31.6,-123.0,4,508.14110660000006,600,,,,
139,40,31.6,-122.8,40,492.89337989999996,600,,,,
140,76,31.6,-122.6,76,477.89087659999996,600,3.106729507,,,0.07940000000000014
141,112,31.6,-122.4,112,463.1574838,600,3.1439449789999996,,,0.07940000000000014
142,148,31.6,-122.2,148,448.7197661,600,3.180843592,,,0.07939999999999969
143,184,31.6,-122.0,184,434.6072461,600,3.217335939,,,0.07940000000000014
144,220,31.6,-121.8,220,420.8526932,600,3.25331831,,,0.07940000000000014
145,256,31.6,-121.6,256,407.49240960000003,600,3.288669586,,,0.07939999999999969
146,292,31.6,-121.4,292,394.56649869999995,600,3.323437452,,,0.07939999999999969
147,328,31.6,-121.2,328,382.1190921,600,3.357288599,,,0.07939999999999969
148,364,31.6,-121.0,364,370.1985073,600,3.390022755,,,0.07939999999999969
149,400,31.6,-120.8,400,358.85729330000004,600,3.421433449,,,0.07940000000000014
150,436,31.6,-120.6,436,348.15211719999996,600,3.4512987139999995,,,0.07940000000000014
151,472,31.6,-120.4,472,338.14343310000004,600,3.480751038,,,0.07940000000000014
152,508,31.6,-120.2,508,328.89487010000005,600,3.509564877,,,0.07939999999999969
153,544,31.6,-120.0,544,320.47227910000004,600,3.536235809,,,0.07940000000000014
154,580,31.6,-119.8,580,312.9423896,600,3.5604555610000004,,,0.07939999999999969
155,616,31.6,-119.6,616,306.3710584,600,3.581907988,,,0.07940000000000014
156,652,31.6,-119.4,652,300.8211345,600,3.600281477,,,0.07940000000000014
157,688,31.6,-119.2,688,296.3500294,600,3.61528182,,,0.07940000000000014
158,724,31.6,-119.0,724,293.0071499,600,3.626648426,,,0.07940000000000014
159,760,31.6,-118.8,760,290.8314152,600,3.63416934,,,0.07940000000000014
