EarthquakeID,StationID,FAS_0p100_,FAS_0p150_,FAS_0p200_,FAS_0p250_,FAS_0p300_,FAS_0p400_,FAS_0p500_,FAS_0p750_,FAS_1p000_,FAS_1p500_,FAS_2p000_
us10006nlu,CC.OBSR,3.307523352,3.047131476,2.848619415,2.688764321,2.97664773,2.331868752,2.511070559,2.37349275,2.723623742,2.045469392,1.402175775
us10006nlu,CC.PANH,1.881747239,1.510868787,1.912362387,2.251493466,2.351433972,2.895896474,2.741497418,1.118113528,1.065487577,0.891587649,-0.258482195
us10006nlu,CN.HNBB,0.986135634,1.003226014,0.235755011,0.684347549,0.372451571,-0.021947928,0.663263139,-0.653954844,0.395369767,-0.573955388,0.018646191
us10006nlu,CN.HOPB,1.210113841,1.179661999,1.302650554,1.26784894,1.361998821,1.018510016,0.756058398,1.010208925,0.834099823,0.460213483,0.418958254
us10006nlu,CN.LLLB,1.16625987,0.788895669,0.215883107,0.468733173,1.147880148,1.200528881,1.216106537,0.690410018,0.968472001,0.85338399,-0.013595632
us10006nlu,CN.SLEB,1.588381673,1.831110282,1.070503348,0.921617242,0.955237069,1.464895444,1.497086822,2.318835327,1.176755893,1.127956105,1.076880854
us10006nlu,CN.SNB,0.01338022,-0.201888338,0.344912074,-0.17331798,0.278492281,0.246672398,0.086237351,-0.039679393,0.023344875,-0.032984941,0.394286795
us10006nlu,CN.VGZ,0.799885359,0.354204097,0.405217609,0.505882797,0.362045762,0.036515005,-0.369017614,-0.089243549,-0.483301073,-1.071306563,-0.675248471
us10006nlu,CN.WSLR,2.475309297,1.586460957,1.211094968,1.847030298,0.78915118,0.407258063,0.585466426,0.141903119,0.212045553,-0.064396698,-0.581710468
us10006nlu,PB.B001,-0.398129409,-0.938179923,-0.482478435,-0.783136755,-0.8988019,-0.443060487,-0.924796815,-1.095995493,-0.996656338,-1.038260057,0.176731873
us10006nlu,PB.B009,0.152687369,-0.160182018,-0.330574078,-0.492596239,-0.56952417,-0.705505686,-0.425481334,-0.692980093,-0.897988533,-0.910389427,-0.601668984
us10006nlu,PB.B010,0.379734502,-0.062779337,-0.014755367,-0.559878833,-0.872494591,-0.612045914,-0.413890111,-0.474391845,-0.62029088,-0.703279939,-0.853966389
us10006nlu,PB.B011,0.28488635,-0.208443907,0.069104017,-0.502561507,-0.784101474,-0.603483686,-0.624137641,-0.484549945,-0.802625429,-0.973281665,-1.017207934
us10006nlu,PB.B013,-0.308045748,-0.623712667,-0.428390223,-0.397486721,-0.337028051,-1.528424071,-1.821202286,-1.592574394,-1.321824163,-1.477653851,-0.833187177
us10006nlu,PB.B941,0.41367563,0.392952375,0.15389043,0.30354129,0.010441419,0.105942983,-0.128342,-0.958143113,-0.51055804,-0.439141842,-0.201379309
us10006nlu,PB.B943,0.129741018,-0.35412166,-0.008030968,0.27659624,0.266178146,-0.611951293,-1.273172991,-1.078988407,-0.967393602,-0.870593805,0.03918834
us10006nlu,US.HAWA,2.053351992,2.168658212,2.308924163,2.32271448,1.465153975,1.646818667,1.372354766,1.465155853,0.290943014,1.28491196,0.21071461
us10006nlu,US.NEW,1.949274813,1.555926569,0.903136005,0.540759811,0.696357795,0.655032385,0.29144796,-0.31557687,-0.263256487,0.2952341,-0.355297526
us10006nlu,UW.BRKS,,,2.024732823,2.20709809,2.741432996,2.384965527,1.843467774,2.463541674,2.514222364,2.274354961,
us10006nlu,UW.CDMR,2.17984803,2.587628301,2.091811263,3.056650223,2.713754517,2.878798933,2.167193548,1.835732279,1.939360963,1.29629521,0.543802472
us10006nlu,UW.DAVN,3.768534774,3.959489713,3.075185126,3.34291085,3.553184295,3.118141908,2.091779496,0.794215637,0.7864581,-0.329649062,-0.221909987
us10006nlu,UW.DDRF,3.872385633,3.451603463,2.345275333,2.063805318,2.259138416,1.967552521,1.272485472,0.929071354,1.127272333,,
us10006nlu,UW.EARN,,1.344935927,1.297866212,1.579797709,2.013484592,2.060826626,1.924322314,1.61219254,1.911482834,1.681441961,
us10006nlu,UW.EVGW,,2.01920767,2.977531888,2.591107106,3.088570084,2.47727364,2.92064312,1.769905677,2.103216019,1.422440802,1.851423754
us10006nlu,UW.FHE,2.338395416,2.400409659,1.759070498,1.594635859,1.442347987,0.995349309,0.570186839,0.453526989,0.423417047,0.618420507,0.35668144
us10006nlu,UW.FINN,,,1.522460836,1.158319317,1.648452249,0.885346241,0.936537098,1.689270596,1.704391103,,
us10006nlu,UW.GBB,1.441085364,0.950712561,0.252158863,-0.347143776,-0.288752499,-1.102282646,-1.076330416,-1.297559855,,,
us10006nlu,UW.GHW,,2.011945373,2.034628167,1.686911536,1.829291351,1.546923724,1.449473078,0.971422534,0.938850473,1.833910065,
us10006nlu,UW.GRUT,,2.3613522,2.054610246,2.413082393,1.824721428,1.617571869,1.821256411,1.781427687,1.182852874,0.57297347,
us10006nlu,UW.H1K,2.010029123,2.397116196,2.612956609,2.151726662,2.260930478,2.351811754,2.134575509,1.710982122,1.991323682,2.400957291,
us10006nlu,UW.HWIW,3.281049197,3.413769264,3.49130533,2.589610679,2.476427991,2.545988877,2.13447757,1.661263514,1.570743404,,
us10006nlu,UW.LEOT,,,1.929503058,1.928411565,1.528204004,2.013250266,1.576125942,1.88258179,,,
us10006nlu,UW.LTY,1.860093128,1.958397674,1.606298778,1.646023875,1.501445448,0.782111076,1.048536889,0.317142083,0.231905531,0.350114384,
us10006nlu,UW.LYNC,,,,1.481616342,1.855025536,1.317555207,1.760612749,1.290833839,1.652684919,1.326231943,
us10006nlu,UW.MJ2,4.061410228,3.94309233,2.394904376,2.720113017,2.45065716,2.496281535,2.212918872,2.000295438,1.575260854,1.010013574,
us10006nlu,UW.MRBL,2.969216443,2.408523702,2.562752056,2.83225457,2.795176105,2.753536496,2.387432928,1.597700939,1.010701133,0.01866426,
us10006nlu,UW.OMAK,2.588124881,1.620481624,1.684595974,0.833167294,1.022220447,0.681145723,0.453758095,0.036756305,-0.138067557,-0.044941082,-0.257907709
us10006nlu,UW.PASS,1.958646178,1.476652084,2.135570609,1.843940649,1.602770752,1.564947101,1.343106894,1.213049647,0.518676458,0.092713953,
us10006nlu,UW.RATT,3.192208938,2.081005845,2.972913426,2.268257371,2.014294257,2.164421539,0.870606653,0.954230787,0.557097639,0.315477576,
us10006nlu,UW.RAW,,1.67292838,2.251536822,2.781111375,2.23531801,2.546298747,1.965634845,1.645128712,2.088759112,1.371233032,
us10006nlu,UW.RCM,1.885173982,0.93532032,1.300155134,0.894026062,1.198500261,0.942186703,1.443697921,0.329589105,0.841334232,0.437604441,-0.453529684
us10006nlu,UW.SHUK,3.637147512,2.297485917,1.741783272,1.306009879,2.172318822,1.234107556,0.953721497,0.433251764,0.487538962,0.168409104,-0.303894581
us10006nlu,UW.SP2,,,1.39136232,1.568328109,1.686797474,1.399813691,1.608417679,1.40952185,1.007647873,0.807957694,1.213251742
us10006nlu,UW.STOR,,,0.713148938,1.569435796,1.339974986,1.412193369,1.489110123,1.277440355,1.659985281,2.023618408,
us10006nlu,UW.SWID,,0.990130172,0.997618713,1.66961725,1.043063107,1.315456077,1.135726231,0.907142258,1.153733452,2.200666523,1.772937864
us10006nlu,UW.TLW1,2.591900205,2.586955383,2.238358629,2.65237046,3.290487283,1.861385014,0.52485853,0.699173166,,,
us10006nlu,UW.TUCA,4.975026089,4.304689375,2.876510776,2.747014604,2.003964961,2.223220706,2.122205834,1.53208667,1.108803533,,
us10006nlu,UW.WEL1,,2.493542961,2.331015719,2.569272562,2.89786717,3.577044939,2.198429754,1.024997422,0.078684869,,
us10006nlu,UW.WEL2,2.509961889,1.396343706,1.548405295,1.567916041,1.082524645,1.245021831,0.927954717,0.85351431,0.421327006,,
us10006nlu,UW.WOLL,3.699494037,2.644982298,2.64950916,1.725432183,1.440464968,1.45477424,0.63311892,0.640433776,0.573383175,,
us10006nlu,X4.MA01,1.265912051,1.182190975,1.011917524,1.162954641,1.494916727,1.466622569,1.27006009,0.407080325,0.63972019,-0.1098411,0.20196075
us10006nlu,X4.MA02,2.041982467,1.268809326,1.375813667,1.310877992,1.047582368,0.761119976,0.208553744,-0.039304536,0.198451885,-0.322157448,0.408872244
us10006nlu,X4.MA03B,1.999064295,0.704707162,0.807708368,1.287138199,0.462838533,1.312020602,0.901243962,-0.345329093,0.77612405,-0.421553903,-0.515149361
us10006nlu,X4.MA04,1.314359056,1.228120231,1.949048989,2.375714625,2.17257057,1.749807566,1.510477994,1.695333036,1.347838601,1.813344867,1.495935245
us10006nlu,X4.MA05,1.912890451,1.974299742,1.612255698,1.814098234,1.94759868,2.005217426,1.489636219,0.737037299,1.433121081,0.659085423,1.063133454
us10006nlu,X4.MA07,2.967034355,2.834402629,3.598759535,3.395262842,2.622006736,2.388000148,2.363370473,2.087348014,2.334517919,1.945462608,1.985792719
us10006nlu,X4.MA08,1.785785035,0.724095534,0.909993643,0.730453848,0.781364995,0.339826634,0.275160832,-0.077639464,-0.262439399,0.071721724,0.109286672
us10006nlu,X4.MA09,1.799581287,1.59339892,0.80164053,1.067297362,0.907836235,0.610050764,0.481152188,-0.21532332,0.313062877,0.09359678,-0.134255642
us10006nlu,X4.MA10,2.617830412,2.287751195,2.338815898,2.112993874,2.266720369,1.868671574,1.485983033,0.921996741,0.859180443,0.046019148,-0.392320111
us10006nlu,X4.MA11,2.41882707,0.893818678,1.109962952,0.259759045,0.964783171,0.620163757,0.476631363,0.166370628,0.220927959,-0.623802154,-0.34267805
us10006nlu,X4.MA13,2.114400018,2.049455311,2.659905663,1.801068069,2.093650095,1.816435294,1.637221166,1.547636407,1.837265482,0.93227072,0.463560343
us2000ag4k,CN.BFSB,-0.999857369,-0.629269623,-0.804716131,-0.238730502,-0.227279204,0.075754867,0.110012589,-0.128781926,-0.353327555,-0.444620326,0.320407776
us2000ag4k,CN.CBB,-0.862399382,-0.689842308,-0.76642549,-0.516724276,-0.306448775,-0.578876669,-0.441592232,-0.674920129,0.055256629,-0.09035571,-0.25475268
us2000ag4k,CN.CLRS,-1.28654075,-0.995479859,-0.877904541,-0.462141537,-1.016678603,-0.61047675,-0.361413583,-0.189645596,0.326570073,0.184395364,0.079787165
us2000ag4k,CN.EDB,-1.884812101,-1.996525787,-1.907192654,-1.393150878,-1.632790366,-1.565020293,-1.309404024,-1.114238399,-0.547438529,-1.251278087,-0.766401154
us2000ag4k,CN.GOBB,-0.126256877,-0.077450678,-0.535925531,-0.291948996,-0.580037541,-0.982935019,-0.616551299,-0.339239597,-0.140966657,-0.29521127,0.213662094
us2000ag4k,CN.HOLB,,-0.821416879,-0.882502429,-0.580450249,-0.969278892,-0.564090541,-0.369407941,-0.134982252,-0.152185268,,
us2000ag4k,CN.LLLB,-0.19169595,0.638094581,-0.421357408,-0.097510404,-0.492624447,-0.341761439,-0.20085484,-0.265695311,0.089672025,-0.269697009,-0.561444714
us2000ag4k,CN.NLLB,-0.788130442,-0.725040951,-0.402769146,-0.21222526,-0.604195075,-0.597317637,0.138948211,-0.704449772,-0.579899446,-0.63510849,-0.414305373
us2000ag4k,CN.OZB,-0.056775963,0.186508427,-0.102890785,-0.234543683,0.645580188,0.746365266,0.484240097,0.122630195,-0.230861366,,-0.150970392
us2000ag4k,CN.PACB,-2.093236563,-1.738337876,-1.749664199,-1.292481031,-1.821844444,-1.549469693,-1.246079059,-0.615909116,-1.232087844,-0.525232949,-1.3578943
us2000ag4k,CN.PFB,-1.092824651,-0.871343826,-0.339248152,-0.889787856,-0.958153144,-0.928227214,-1.181695782,-0.905374986,-0.612892165,-0.92824184,0.329620872
us2000ag4k,CN.PGC,-0.462772699,-0.347284259,-0.581700461,-0.472734802,-0.236386895,-0.510267035,-0.851103828,-0.609345485,-0.704403624,-0.39484722,
us2000ag4k,CN.PHC,-1.636016208,-1.59498983,-1.326286069,-1.292915827,-1.027767906,-1.706090825,-1.505040933,-1.410164601,-1.293025133,-1.315262227,-0.972999439
us2000ag4k,CN.PTRF,-1.275849576,-0.494307405,-1.122918973,-1.21248946,-1.051794437,-0.567618166,-1.898327264,-0.781076209,-0.501260812,-1.484945367,
us2000ag4k,CN.SHB,-0.112061927,-0.124308724,0.328256826,-0.415749169,-0.886525404,-0.240251355,-0.718934153,-0.086572091,-0.480466285,-0.186968743,-0.237668073
us2000ag4k,CN.SNB,-1.391182842,-0.853573113,-0.801652237,-0.408930498,-0.781742084,-0.491517394,-0.501731546,-0.212290137,0.137911331,0.19379233,
us2000ag4k,CN.SYMB,-0.418312527,-0.185482541,-0.648293858,-0.487713797,-0.4365375,-0.456026699,-0.10423147,-0.607051459,-0.310680002,-0.206398898,
us2000ag4k,CN.VGZ,-0.531240248,-0.551510998,-0.986688379,-0.642361495,-0.527399561,-0.860267149,-0.85500137,-1.077832141,-1.008992379,,
us2000ag4k,CN.WOSB,-0.854871968,-0.512678521,-0.764661148,-0.597625642,-0.348589954,-0.881922228,-0.715172844,-0.797946268,-0.266225018,,
us2000ag4k,NV.NCBC,1.354286107,1.004632945,1.18428425,0.868307294,1.037142323,0.838716348,1.266245798,1.601461301,2.212601601,2.332798231,1.629674964
us2000ag4k,PB.B001,,-2.226980753,-1.851304996,-2.367675296,-2.467299701,-1.992876618,-1.901783385,-1.705277637,-2.020168266,-1.146676117,-0.486419025
us2000ag4k,PB.B003,-2.989413045,-2.531326006,-3.41865127,-3.156746031,-2.658357316,-2.079009387,-1.896863695,-1.607487667,-1.530789664,-0.846406509,-0.908247505
us2000ag4k,PB.B004,-2.510132268,-2.529226046,-2.640609683,-2.044260465,-2.476753559,-1.915210385,-1.815067204,-1.672566451,-1.057723849,-1.452974138,-0.776770051
us2000ag4k,PB.B005,-1.933454335,-1.961347746,-1.920404756,-1.821291162,-1.866232772,-1.662307566,-1.833611965,-1.188185691,-1.674123755,-1.500326741,-1.285226147
us2000ag4k,PB.B006,-1.956379749,-1.665429983,-1.930183638,-1.973022691,-1.821281804,-1.810179347,-1.67831558,-1.008743257,-1.44227238,-1.349477349,-1.134848018
